N	alpha	rec_frac	t0	t1	cov	gen
1000	0.05	1e-4	5	6	3.989357798130241e-6	6
1000	0.05	1e-4	5	7	0.00014848702761923612	7
1000	0.05	1e-4	5	8	7.23328864996425e-5	8
1000	0.05	1e-4	5	9	2.5968533889964135e-5	9
1000	0.05	1e-4	5	10	5.49173668721531e-5	10
1000	0.05	1e-4	5	11	8.341258828942701e-5	11
1000	0.05	1e-4	5	12	6.270217153259998e-5	12
1000	0.05	1e-4	5	13	2.7654330428139518e-5	13
1000	0.05	1e-4	5	14	2.4567564685674658e-5	14
1000	0.05	1e-4	5	15	2.45978327627792e-5	15
1000	0.05	1e-4	5	16	1.0508809531417068e-4	16
1000	0.05	1e-4	5	17	6.193479562498517e-5	17
1000	0.05	1e-4	5	18	8.740692572672266e-5	18
1000	0.05	1e-4	5	19	4.6787913606196234e-5	19
1000	0.05	1e-4	5	20	5.474077257088082e-5	20
1000	0.05	1e-4	5	21	6.309819427586904e-5	21
1000	0.05	1e-4	5	22	7.048631643229141e-5	22
1000	0.05	1e-4	5	23	1.8801146091709396e-4	23
1000	0.05	1e-4	5	24	4.0082375211423814e-5	24
1000	0.05	1e-4	5	25	4.424267567987847e-5	25
1000	0.05	1e-4	5	26	4.4804314858924076e-5	26
1000	0.05	1e-4	5	27	6.85525306783203e-5	27
1000	0.05	1e-4	5	28	4.307983797845229e-5	28
1000	0.05	1e-4	5	29	-4.713472267545816e-6	29
1000	0.05	1e-4	5	30	2.2793067707672663e-5	30
1000	0.05	1e-4	5	31	2.236129550452582e-5	31
1000	0.05	1e-4	5	32	7.305557969648725e-5	32
1000	0.05	1e-4	5	33	1.1515095303550491e-5	33
1000	0.05	1e-4	5	34	7.970018063366831e-5	34
1000	0.05	1e-4	5	35	4.0394989150909774e-5	35
1000	0.05	1e-4	5	36	1.9536323134980068e-5	36
1000	0.05	1e-4	5	37	-4.53558686571776e-6	37
1000	0.05	1e-4	5	38	6.25701727535059e-5	38
1000	0.05	1e-4	5	39	4.146947113258293e-5	39
1000	0.05	1e-4	5	40	1.8629265252093955e-5	40
1000	0.05	1e-4	5	41	4.595670566693913e-5	41
1000	0.05	1e-4	5	42	-5.803757538636922e-6	42
1000	0.05	1e-4	5	43	6.383657112671202e-5	43
1000	0.05	1e-4	5	44	-5.347387865732122e-6	44
1000	0.05	1e-4	5	45	-1.378928578034978e-5	45
1000	0.05	1e-4	5	46	1.0124783092031637e-4	46
1000	0.05	1e-4	5	47	4.6063731322417496e-5	47
1000	0.05	1e-4	5	48	6.213147973113266e-5	48
1000	0.05	1e-4	5	49	4.3927833816399364e-5	49
1000	0.05	1e-4	5	50	7.009663331998226e-5	50
1000	0.05	1e-4	5	51	-1.462698239389715e-7	51
1000	0.05	1e-4	5	52	5.0100077417682716e-5	52
1000	0.05	1e-4	5	53	6.658489135886725e-5	53
1000	0.05	1e-4	5	54	3.841010442239788e-5	54
1000	0.05	1e-4	5	55	3.4424956911329615e-5	55
1000	0.05	1e-4	5	56	2.0720733228162392e-5	56
1000	0.05	1e-4	5	57	-6.279455330135587e-5	57
1000	0.05	1e-4	5	58	3.0874732263174646e-5	58
1000	0.05	1e-4	5	59	4.061699304928263e-5	59
1000	0.05	1e-4	5	60	-1.3900006479987625e-5	60
1000	0.05	1e-4	5	61	2.4101208223173375e-5	61
1000	0.05	1e-4	5	62	4.335363372684283e-5	62
1000	0.05	1e-4	5	63	4.053785262616615e-5	63
1000	0.05	1e-4	5	64	8.072317398630736e-6	64
1000	0.05	1e-4	5	65	-3.432063478840859e-5	65
1000	0.05	1e-4	5	66	-9.829734105003583e-6	66
1000	0.05	1e-4	5	67	3.700285892688019e-5	67
1000	0.05	1e-4	5	68	-1.5003333283510734e-5	68
1000	0.05	1e-4	5	69	4.447889398941376e-6	69
1000	0.05	1e-4	5	70	2.6305367591965703e-5	70
1000	0.05	1e-4	5	71	5.899988245877016e-5	71
1000	0.05	1e-4	5	72	-2.2504596264194276e-6	72
1000	0.05	1e-4	5	73	-3.654368470715519e-5	73
1000	0.05	1e-4	5	74	2.8258137112892345e-5	74
1000	0.05	1e-4	5	75	-1.4434819872557782e-5	75
1000	0.05	1e-4	5	76	4.062204357630534e-6	76
1000	0.05	1e-4	5	77	2.31548666568619e-5	77
1000	0.05	1e-4	5	78	-2.7336335725665733e-6	78
1000	0.05	1e-4	5	79	9.648081496377218e-5	79
1000	0.05	1e-4	5	80	6.155626554809392e-5	80
1000	0.05	1e-4	5	81	2.008816865934774e-5	81
1000	0.05	1e-4	5	82	1.137602732712343e-5	82
1000	0.05	1e-4	5	83	3.8983306043765765e-5	83
1000	0.05	1e-4	5	84	-3.7438230441371486e-7	84
1000	0.05	1e-4	5	85	-1.0298742797441423e-5	85
1000	0.05	1e-4	5	86	-5.757581270414159e-7	86
1000	0.05	1e-4	5	87	-3.786224767759222e-5	87
1000	0.05	1e-4	5	88	1.2774083823460212e-5	88
1000	0.05	1e-4	5	89	5.917550934201715e-5	89
1000	0.05	1e-4	5	90	2.3857148219572965e-6	90
1000	0.05	1e-4	5	91	3.0320329351703277e-5	91
1000	0.05	1e-4	5	92	3.612724078640862e-6	92
1000	0.05	1e-4	5	93	5.93735388373379e-6	93
1000	0.05	1e-4	5	94	3.885299748785236e-5	94
1000	0.05	1e-4	5	95	-3.8542848102216925e-6	95
1000	0.05	1e-4	5	96	-5.359132373028784e-5	96
1000	0.05	1e-4	5	97	1.6760157850482033e-5	97
1000	0.05	1e-4	5	98	1.43289622863267e-5	98
1000	0.05	1e-4	5	99	-3.5465969566650464e-7	99
1000	0.05	5e-4	5	6	3.480283702833202e-5	6
1000	0.05	5e-4	5	7	-9.867755567693439e-6	7
1000	0.05	5e-4	5	8	6.016312416237004e-5	8
1000	0.05	5e-4	5	9	7.1529734561291965e-6	9
1000	0.05	5e-4	5	10	3.490307938750688e-5	10
1000	0.05	5e-4	5	11	-3.864583781708782e-5	11
1000	0.05	5e-4	5	12	4.9233463610713534e-5	12
1000	0.05	5e-4	5	13	7.186135031001797e-5	13
1000	0.05	5e-4	5	14	-1.3489214888851885e-5	14
1000	0.05	5e-4	5	15	-4.378988881287464e-5	15
1000	0.05	5e-4	5	16	1.5820506613992227e-5	16
1000	0.05	5e-4	5	17	4.0809092957130195e-5	17
1000	0.05	5e-4	5	18	4.142332378557798e-5	18
1000	0.05	5e-4	5	19	1.9396388223067584e-5	19
1000	0.05	5e-4	5	20	4.379857322007607e-5	20
1000	0.05	5e-4	5	21	2.5952891177427994e-5	21
1000	0.05	5e-4	5	22	-1.718778448472934e-5	22
1000	0.05	5e-4	5	23	-2.791769426108593e-5	23
1000	0.05	5e-4	5	24	2.6736400618489167e-5	24
1000	0.05	5e-4	5	25	1.6301489828077498e-5	25
1000	0.05	5e-4	5	26	-1.8897097512944824e-5	26
1000	0.05	5e-4	5	27	5.971704653304492e-5	27
1000	0.05	5e-4	5	28	-1.1841002979796095e-5	28
1000	0.05	5e-4	5	29	-3.419859870730381e-5	29
1000	0.05	5e-4	5	30	-8.020755810059857e-5	30
1000	0.05	5e-4	5	31	4.052210795655413e-5	31
1000	0.05	5e-4	5	32	2.6768619551467666e-5	32
1000	0.05	5e-4	5	33	-5.456930740215862e-5	33
1000	0.05	5e-4	5	34	-1.3568941511863042e-5	34
1000	0.05	5e-4	5	35	1.3922984779373102e-5	35
1000	0.05	5e-4	5	36	-1.8260509723459453e-5	36
1000	0.05	5e-4	5	37	-5.7996189326598254e-5	37
1000	0.05	5e-4	5	38	-3.0199124605503148e-5	38
1000	0.05	5e-4	5	39	2.208520650260462e-5	39
1000	0.05	5e-4	5	40	-1.5877164170386206e-5	40
1000	0.05	5e-4	5	41	-1.7529467595594038e-5	41
1000	0.05	5e-4	5	42	2.7189694867578062e-5	42
1000	0.05	5e-4	5	43	-4.1263170542015434e-5	43
1000	0.05	5e-4	5	44	1.565209983742981e-5	44
1000	0.05	5e-4	5	45	1.3954577597162796e-5	45
1000	0.05	5e-4	5	46	-7.93425569953258e-5	46
1000	0.05	5e-4	5	47	-1.523187046919497e-6	47
1000	0.05	5e-4	5	48	2.2997559177405422e-5	48
1000	0.05	5e-4	5	49	-4.048853221930025e-6	49
1000	0.05	5e-4	5	50	1.1837470273645387e-5	50
1000	0.05	5e-4	5	51	-2.0841153675850588e-5	51
1000	0.05	5e-4	5	52	1.8045576138845925e-5	52
1000	0.05	5e-4	5	53	-7.299509177620868e-5	53
1000	0.05	5e-4	5	54	2.4028191107025195e-5	54
1000	0.05	5e-4	5	55	-5.282747436008089e-6	55
1000	0.05	5e-4	5	56	-2.8385086849473387e-5	56
1000	0.05	5e-4	5	57	1.5087626411198423e-5	57
1000	0.05	5e-4	5	58	-5.48150257249762e-5	58
1000	0.05	5e-4	5	59	9.65150483415413e-6	59
1000	0.05	5e-4	5	60	1.2469590558874259e-5	60
1000	0.05	5e-4	5	61	-9.069066771451153e-5	61
1000	0.05	5e-4	5	62	-3.685525701204321e-5	62
1000	0.05	5e-4	5	63	3.23421387221675e-5	63
1000	0.05	5e-4	5	64	6.890775105125808e-6	64
1000	0.05	5e-4	5	65	4.41954376262334e-6	65
1000	0.05	5e-4	5	66	1.6319999004367316e-5	66
1000	0.05	5e-4	5	67	-2.3303258106449185e-5	67
1000	0.05	5e-4	5	68	-6.23510283078281e-6	68
1000	0.05	5e-4	5	69	-8.611626112209312e-5	69
1000	0.05	5e-4	5	70	5.8153746788675194e-5	70
1000	0.05	5e-4	5	71	-5.7912274807774624e-5	71
1000	0.05	5e-4	5	72	-4.552195321376381e-6	72
1000	0.05	5e-4	5	73	-2.7544272142502526e-5	73
1000	0.05	5e-4	5	74	-6.902896457251838e-5	74
1000	0.05	5e-4	5	75	-2.2063303309628067e-5	75
1000	0.05	5e-4	5	76	-3.644777603896564e-5	76
1000	0.05	5e-4	5	77	-2.108968705116275e-5	77
1000	0.05	5e-4	5	78	-8.804305891184978e-6	78
1000	0.05	5e-4	5	79	-1.7001857824711342e-5	79
1000	0.05	5e-4	5	80	-6.768077874714322e-6	80
1000	0.05	5e-4	5	81	3.6553475804262424e-6	81
1000	0.05	5e-4	5	82	-9.070886184562759e-5	82
1000	0.05	5e-4	5	83	-6.148143337743702e-5	83
1000	0.05	5e-4	5	84	-1.9130710889054008e-5	84
1000	0.05	5e-4	5	85	1.9604071565580423e-6	85
1000	0.05	5e-4	5	86	-7.033907448561197e-5	86
1000	0.05	5e-4	5	87	1.971851273780366e-5	87
1000	0.05	5e-4	5	88	1.6496264124183007e-5	88
1000	0.05	5e-4	5	89	-1.9217906957611385e-5	89
1000	0.05	5e-4	5	90	-5.214509578764227e-5	90
1000	0.05	5e-4	5	91	1.0914343310505911e-5	91
1000	0.05	5e-4	5	92	-8.835914889902347e-5	92
1000	0.05	5e-4	5	93	2.816080487530691e-6	93
1000	0.05	5e-4	5	94	7.681074018180011e-5	94
1000	0.05	5e-4	5	95	-4.3354857030119844e-5	95
1000	0.05	5e-4	5	96	-8.415475129905294e-6	96
1000	0.05	5e-4	5	97	-1.3471078938240783e-5	97
1000	0.05	5e-4	5	98	-9.613213039501922e-6	98
1000	0.05	5e-4	5	99	-4.9869699650182934e-6	99
1000	0.05	0.02	5	6	-1.551980593612479e-5	6
1000	0.05	0.02	5	7	1.6833147346289463e-5	7
1000	0.05	0.02	5	8	-3.1726789912504963e-6	8
1000	0.05	0.02	5	9	5.2895858557222794e-5	9
1000	0.05	0.02	5	10	9.807614734394087e-5	10
1000	0.05	0.02	5	11	3.7518018935353606e-5	11
1000	0.05	0.02	5	12	-8.705407938788124e-6	12
1000	0.05	0.02	5	13	3.542079063452077e-5	13
1000	0.05	0.02	5	14	-1.140855331601809e-5	14
1000	0.05	0.02	5	15	3.184724713168758e-5	15
1000	0.05	0.02	5	16	-2.0572091167443548e-5	16
1000	0.05	0.02	5	17	6.730331283980017e-7	17
1000	0.05	0.02	5	18	1.7242900914211944e-5	18
1000	0.05	0.02	5	19	1.6302700711245413e-5	19
1000	0.05	0.02	5	20	6.176222237801861e-5	20
1000	0.05	0.02	5	21	-1.5993062033474502e-5	21
1000	0.05	0.02	5	22	1.2059411315574385e-5	22
1000	0.05	0.02	5	23	-7.474231608372493e-6	23
1000	0.05	0.02	5	24	-7.838882769532075e-5	24
1000	0.05	0.02	5	25	4.292076803306648e-5	25
1000	0.05	0.02	5	26	3.358333700705581e-5	26
1000	0.05	0.02	5	27	6.847709812543984e-6	27
1000	0.05	0.02	5	28	1.8978951181010655e-5	28
1000	0.05	0.02	5	29	3.940479509757121e-5	29
1000	0.05	0.02	5	30	-2.755206599044129e-5	30
1000	0.05	0.02	5	31	1.4691666927439712e-5	31
1000	0.05	0.02	5	32	-8.836445929159019e-7	32
1000	0.05	0.02	5	33	1.9015415321979594e-5	33
1000	0.05	0.02	5	34	7.257512745108125e-5	34
1000	0.05	0.02	5	35	1.7576927492855446e-5	35
1000	0.05	0.02	5	36	2.0809266083043464e-6	36
1000	0.05	0.02	5	37	6.772363011192516e-7	37
1000	0.05	0.02	5	38	2.0941629837405725e-5	38
1000	0.05	0.02	5	39	-3.823390039192365e-5	39
1000	0.05	0.02	5	40	6.167455217279027e-5	40
1000	0.05	0.02	5	41	-4.0213821042021686e-5	41
1000	0.05	0.02	5	42	-1.6788919228709892e-6	42
1000	0.05	0.02	5	43	4.355567261050148e-6	43
1000	0.05	0.02	5	44	6.583478669989824e-5	44
1000	0.05	0.02	5	45	-3.0483244514268495e-5	45
1000	0.05	0.02	5	46	1.0644011479364949e-5	46
1000	0.05	0.02	5	47	4.077771467195681e-5	47
1000	0.05	0.02	5	48	-4.358184418365414e-5	48
1000	0.05	0.02	5	49	1.9806599978241866e-5	49
1000	0.05	0.02	5	50	-3.712593169643045e-6	50
1000	0.05	0.02	5	51	5.82287458237077e-6	51
1000	0.05	0.02	5	52	-1.1280100894529373e-5	52
1000	0.05	0.02	5	53	9.2820877025655e-6	53
1000	0.05	0.02	5	54	5.564988485899122e-5	54
1000	0.05	0.02	5	55	-6.086334609343232e-6	55
1000	0.05	0.02	5	56	4.771046384800729e-5	56
1000	0.05	0.02	5	57	-3.6037575343880835e-5	57
1000	0.05	0.02	5	58	-7.782520946542429e-6	58
1000	0.05	0.02	5	59	1.2768435517486994e-5	59
1000	0.05	0.02	5	60	-3.5322083152828276e-5	60
1000	0.05	0.02	5	61	-7.879718751483145e-5	61
1000	0.05	0.02	5	62	-2.0802190628417336e-5	62
1000	0.05	0.02	5	63	6.529043447787907e-6	63
1000	0.05	0.02	5	64	1.4944509810809612e-5	64
1000	0.05	0.02	5	65	2.888700317390564e-5	65
1000	0.05	0.02	5	66	-1.7640062727790736e-6	66
1000	0.05	0.02	5	67	2.001802984886204e-5	67
1000	0.05	0.02	5	68	-1.6239395106598997e-5	68
1000	0.05	0.02	5	69	2.8154941228335714e-5	69
1000	0.05	0.02	5	70	-3.1588118127941446e-5	70
1000	0.05	0.02	5	71	-2.3308124724325595e-5	71
1000	0.05	0.02	5	72	8.422436169296209e-6	72
1000	0.05	0.02	5	73	-2.2696271596098975e-5	73
1000	0.05	0.02	5	74	7.11859534012319e-6	74
1000	0.05	0.02	5	75	-4.125178593805592e-5	75
1000	0.05	0.02	5	76	-1.0976710343485382e-5	76
1000	0.05	0.02	5	77	2.126564790368875e-5	77
1000	0.05	0.02	5	78	7.385997475263442e-7	78
1000	0.05	0.02	5	79	5.089920589353717e-5	79
1000	0.05	0.02	5	80	-3.0094972025189807e-5	80
1000	0.05	0.02	5	81	-3.7623888856656385e-5	81
1000	0.05	0.02	5	82	-1.020673197759095e-5	82
1000	0.05	0.02	5	83	-1.7966227807911407e-5	83
1000	0.05	0.02	5	84	4.009733644165428e-5	84
1000	0.05	0.02	5	85	-4.152361489348701e-5	85
1000	0.05	0.02	5	86	3.408530539749148e-7	86
1000	0.05	0.02	5	87	-4.220538781992326e-6	87
1000	0.05	0.02	5	88	5.98209789566412e-5	88
1000	0.05	0.02	5	89	2.0983046886229056e-5	89
1000	0.05	0.02	5	90	-5.688844383074284e-5	90
1000	0.05	0.02	5	91	4.153288016280065e-6	91
1000	0.05	0.02	5	92	-1.1846962938043803e-5	92
1000	0.05	0.02	5	93	3.6892587215235853e-5	93
1000	0.05	0.02	5	94	2.7535567430796465e-5	94
1000	0.05	0.02	5	95	-1.2437810953477042e-5	95
1000	0.05	0.02	5	96	8.709097727282575e-6	96
1000	0.05	0.02	5	97	-2.0248949921134357e-5	97
1000	0.05	0.02	5	98	-4.571298305482423e-5	98
1000	0.05	0.02	5	99	6.008208819404829e-5	99
1000	0.1	1e-4	5	6	2.790328509162791e-4	6
1000	0.1	1e-4	5	7	2.1974985362477328e-4	7
1000	0.1	1e-4	5	8	3.241448443447933e-4	8
1000	0.1	1e-4	5	9	1.50616434638025e-4	9
1000	0.1	1e-4	5	10	2.3253284427466516e-4	10
1000	0.1	1e-4	5	11	1.6244891663293808e-4	11
1000	0.1	1e-4	5	12	2.4188705135604706e-4	12
1000	0.1	1e-4	5	13	2.4391473442034748e-4	13
1000	0.1	1e-4	5	14	1.7905768069750107e-4	14
1000	0.1	1e-4	5	15	1.813558983701136e-4	15
1000	0.1	1e-4	5	16	2.4769921073233034e-4	16
1000	0.1	1e-4	5	17	1.3791801006374368e-4	17
1000	0.1	1e-4	5	18	3.147183018831718e-4	18
1000	0.1	1e-4	5	19	2.177316896030776e-4	19
1000	0.1	1e-4	5	20	1.051665461954653e-4	20
1000	0.1	1e-4	5	21	1.1323121136571891e-4	21
1000	0.1	1e-4	5	22	2.0007916597867664e-4	22
1000	0.1	1e-4	5	23	1.0308699950533624e-4	23
1000	0.1	1e-4	5	24	1.0941512545943605e-4	24
1000	0.1	1e-4	5	25	7.330400075978621e-5	25
1000	0.1	1e-4	5	26	6.615987014622699e-5	26
1000	0.1	1e-4	5	27	1.693324870765647e-4	27
1000	0.1	1e-4	5	28	1.2898803561979029e-4	28
1000	0.1	1e-4	5	29	1.4065170021526987e-4	29
1000	0.1	1e-4	5	30	1.1683479425706757e-4	30
1000	0.1	1e-4	5	31	1.3794029439845887e-4	31
1000	0.1	1e-4	5	32	1.5990258022818008e-4	32
1000	0.1	1e-4	5	33	1.4735673113552868e-4	33
1000	0.1	1e-4	5	34	2.1009824270837385e-5	34
1000	0.1	1e-4	5	35	1.2737814521528791e-4	35
1000	0.1	1e-4	5	36	9.255867168232845e-5	36
1000	0.1	1e-4	5	37	1.4660475119653482e-4	37
1000	0.1	1e-4	5	38	1.3937258673622855e-4	38
1000	0.1	1e-4	5	39	9.864422163998765e-5	39
1000	0.1	1e-4	5	40	2.5476247995015014e-5	40
1000	0.1	1e-4	5	41	1.258045586357678e-5	41
1000	0.1	1e-4	5	42	1.0443660783549582e-4	42
1000	0.1	1e-4	5	43	2.6776434879202757e-5	43
1000	0.1	1e-4	5	44	8.762074449831629e-5	44
1000	0.1	1e-4	5	45	1.0857634098106643e-4	45
1000	0.1	1e-4	5	46	1.0799858427289374e-4	46
1000	0.1	1e-4	5	47	1.922274163652953e-5	47
1000	0.1	1e-4	5	48	4.3826791584209995e-5	48
1000	0.1	1e-4	5	49	4.7702821103099814e-6	49
1000	0.1	1e-4	5	50	5.1939394492234396e-5	50
1000	0.1	1e-4	5	51	5.556682114847026e-5	51
1000	0.1	1e-4	5	52	2.303097831870036e-5	52
1000	0.1	1e-4	5	53	3.099736492385243e-6	53
1000	0.1	1e-4	5	54	-6.643164037527843e-5	54
1000	0.1	1e-4	5	55	1.0564483652426527e-4	55
1000	0.1	1e-4	5	56	6.779653952488493e-5	56
1000	0.1	1e-4	5	57	5.276323500502175e-5	57
1000	0.1	1e-4	5	58	5.224739063077919e-6	58
1000	0.1	1e-4	5	59	-4.381420842767927e-6	59
1000	0.1	1e-4	5	60	1.250371729398158e-5	60
1000	0.1	1e-4	5	61	7.742082169707685e-6	61
1000	0.1	1e-4	5	62	-6.37035729919412e-5	62
1000	0.1	1e-4	5	63	4.964280661593199e-5	63
1000	0.1	1e-4	5	64	-2.8266295750684444e-5	64
1000	0.1	1e-4	5	65	-1.7494308105350443e-6	65
1000	0.1	1e-4	5	66	-6.722294294165701e-5	66
1000	0.1	1e-4	5	67	5.3375994690537155e-5	67
1000	0.1	1e-4	5	68	-1.2086631540574482e-5	68
1000	0.1	1e-4	5	69	-7.670574177166815e-6	69
1000	0.1	1e-4	5	70	2.171227523306248e-5	70
1000	0.1	1e-4	5	71	3.65853884326341e-5	71
1000	0.1	1e-4	5	72	1.4239619369830637e-4	72
1000	0.1	1e-4	5	73	-3.69801882802094e-5	73
1000	0.1	1e-4	5	74	-2.8630560039045058e-5	74
1000	0.1	1e-4	5	75	1.0184395912884063e-5	75
1000	0.1	1e-4	5	76	-6.247650620579878e-5	76
1000	0.1	1e-4	5	77	-3.887937443151206e-5	77
1000	0.1	1e-4	5	78	-9.11723173334603e-6	78
1000	0.1	1e-4	5	79	3.6619918656829253e-5	79
1000	0.1	1e-4	5	80	1.4345915092042692e-4	80
1000	0.1	1e-4	5	81	2.05815257436663e-5	81
1000	0.1	1e-4	5	82	3.541413185048432e-5	82
1000	0.1	1e-4	5	83	-2.456221105308452e-5	83
1000	0.1	1e-4	5	84	-8.766724201442018e-5	84
1000	0.1	1e-4	5	85	-1.2076631555277011e-4	85
1000	0.1	1e-4	5	86	-5.258562010586115e-5	86
1000	0.1	1e-4	5	87	1.2989022008748818e-5	87
1000	0.1	1e-4	5	88	1.620641501664948e-5	88
1000	0.1	1e-4	5	89	4.032779345021491e-5	89
1000	0.1	1e-4	5	90	5.528005360554426e-6	90
1000	0.1	1e-4	5	91	-1.0414778335639964e-4	91
1000	0.1	1e-4	5	92	-3.8034516122149273e-6	92
1000	0.1	1e-4	5	93	-2.1225664310338554e-5	93
1000	0.1	1e-4	5	94	3.5130852931854543e-5	94
1000	0.1	1e-4	5	95	4.553391888066088e-6	95
1000	0.1	1e-4	5	96	3.318539811418423e-5	96
1000	0.1	1e-4	5	97	-6.77849404917295e-5	97
1000	0.1	1e-4	5	98	-2.5867386851390523e-5	98
1000	0.1	1e-4	5	99	4.14273009312255e-5	99
1000	0.1	5e-4	5	6	1.087897147447848e-4	6
1000	0.1	5e-4	5	7	8.763347322285629e-5	7
1000	0.1	5e-4	5	8	9.061653031894249e-5	8
1000	0.1	5e-4	5	9	1.07314381009435e-4	9
1000	0.1	5e-4	5	10	1.4715939784285616e-4	10
1000	0.1	5e-4	5	11	1.3677949800407536e-4	11
1000	0.1	5e-4	5	12	8.310602191933297e-5	12
1000	0.1	5e-4	5	13	2.0134463346552293e-4	13
1000	0.1	5e-4	5	14	1.3901718417106264e-4	14
1000	0.1	5e-4	5	15	8.463939342345515e-5	15
1000	0.1	5e-4	5	16	9.484932883756e-5	16
1000	0.1	5e-4	5	17	1.2384862158992607e-4	17
1000	0.1	5e-4	5	18	1.1589073375509204e-4	18
1000	0.1	5e-4	5	19	9.254179695226146e-5	19
1000	0.1	5e-4	5	20	1.285290876896138e-4	20
1000	0.1	5e-4	5	21	1.0315759682265463e-4	21
1000	0.1	5e-4	5	22	1.389148573354624e-4	22
1000	0.1	5e-4	5	23	9.313469964239825e-5	23
1000	0.1	5e-4	5	24	1.0635845768228546e-4	24
1000	0.1	5e-4	5	25	6.0949204759483724e-5	25
1000	0.1	5e-4	5	26	1.2514647534050618e-4	26
1000	0.1	5e-4	5	27	1.0463817901192893e-4	27
1000	0.1	5e-4	5	28	1.0356587671558723e-4	28
1000	0.1	5e-4	5	29	1.294714429500092e-4	29
1000	0.1	5e-4	5	30	2.2928992432736707e-5	30
1000	0.1	5e-4	5	31	1.0121592038978783e-4	31
1000	0.1	5e-4	5	32	6.797341851071744e-5	32
1000	0.1	5e-4	5	33	4.148617138555316e-5	33
1000	0.1	5e-4	5	34	-8.157952275764372e-6	34
1000	0.1	5e-4	5	35	9.002675773214978e-5	35
1000	0.1	5e-4	5	36	8.609415960015153e-5	36
1000	0.1	5e-4	5	37	4.096552285679075e-5	37
1000	0.1	5e-4	5	38	6.217377928673019e-5	38
1000	0.1	5e-4	5	39	7.903328409294344e-5	39
1000	0.1	5e-4	5	40	1.1585244547856186e-4	40
1000	0.1	5e-4	5	41	-6.499041851184933e-6	41
1000	0.1	5e-4	5	42	6.536097706851992e-5	42
1000	0.1	5e-4	5	43	9.404187729625103e-5	43
1000	0.1	5e-4	5	44	9.933434572282205e-6	44
1000	0.1	5e-4	5	45	7.39814619195979e-5	45
1000	0.1	5e-4	5	46	7.036660216920932e-5	46
1000	0.1	5e-4	5	47	2.4555631274224058e-5	47
1000	0.1	5e-4	5	48	5.132856455832082e-5	48
